Wall time,Step,Value
1639056408.0552628,0,0.6206140518188477
1639056445.4797897,1,0.6425438523292542
1639056482.8328466,2,0.625
1639056520.0348618,3,0.7390350699424744
1639056557.3558004,4,0.6535087823867798
1639056594.9440026,5,0.6995614171028137
1639056632.4554424,6,0.6951754093170166
1639056669.948919,7,0.7587719559669495
1639056707.7008471,8,0.7017543911933899
1639056745.419024,9,0.7763158082962036
1639056783.2230668,10,0.6644737124443054
1639056820.5603442,11,0.7872806787490845
1639056858.0660462,12,0.7521929740905762
1639056895.9875462,13,0.7434210777282715
1639056933.6055837,14,0.7675438523292542
1639056971.3487182,15,0.7785087823867798
1639057009.0433607,16,0.8179824352264404
1639057046.3921726,17,0.7741228342056274
1639057084.1774879,18,0.8048245906829834
1639057121.3376436,19,0.8026315569877625
1639057158.4763963,20,0.7960526347160339
1639057195.6730866,21,0.8157894611358643
1639057232.9838758,22,0.7850877046585083
1639057270.369269,23,0.7938596606254578
1639057308.0855505,24,0.8223684430122375
1639057345.724494,25,0.8135964870452881
1639057382.8982353,26,0.8157894611358643
1639057420.189092,27,0.8245614171028137
1639057458.1097646,28,0.8048245906829834
1639057496.0373812,29,0.7565789222717285
1639057533.4283726,30,0.8289473652839661
1639057571.265441,31,0.8157894611358643
1639057608.9872072,32,0.8267543911933899
1639057646.2075517,33,0.8092105388641357
1639057683.4891047,34,0.8026315569877625
1639057720.8106718,35,0.8486841917037964
1639057759.3629484,36,0.8048245906829834
1639057799.910109,37,0.7982456088066101
1639057843.0238166,38,0.8530701994895935
1639057883.2016487,39,0.8201754093170166
1639057926.2889462,40,0.8399122953414917
1639057968.8436036,41,0.8552631735801697
1639058011.4988952,42,0.8333333134651184
1639058053.5656648,43,0.8399122953414917
1639058092.9603848,44,0.859649121761322
1639058131.9190001,45,0.8311403393745422
1639058170.9610615,46,0.8618420958518982
1639058210.6118486,47,0.8574561476707458
1639058253.0675893,48,0.8552631735801697
1639058291.0971756,49,0.8245614171028137
1639058328.9813025,50,0.875
1639058367.0912676,51,0.8333333134651184
1639058405.0274732,52,0.844298243522644
1639058442.9806144,53,0.8684210777282715
1639058481.1055734,54,0.8640350699424744
1639058520.6215801,55,0.8684210777282715
1639058561.7313483,56,0.8574561476707458
1639058599.6157951,57,0.8815789222717285
1639058637.3879278,58,0.7982456088066101
1639058675.5153325,59,0.8706140518188477
