Wall time,Step,Value
1638970168.1238558,0,0.2149122804403305
1638970256.0497832,1,0.19736842811107635
1638970343.7465513,2,0.19078947603702545
1638970433.0487556,3,0.19736842811107635
1638970523.8195243,4,0.20614035427570343
1638970614.3184237,5,0.20614035427570343
1638970703.9804468,6,0.20614035427570343
1638970793.8639526,7,0.20614035427570343
1638970882.1911354,8,0.19736842811107635
1638970969.1287336,9,0.20614035427570343
1638971056.1625292,10,0.19736842811107635
1638971143.5451667,11,0.20614035427570343
1638971231.2099903,12,0.19736842811107635
1638971318.6488845,13,0.20614035427570343
1638971405.8816435,14,0.20614035427570343
1638971493.8563218,15,0.19736842811107635
1638971580.8811383,16,0.19078947603702545
1638971668.8334265,17,0.20614035427570343
1638971756.9903834,18,0.20614035427570343
1638971844.475643,19,0.20614035427570343
1638971931.6027873,20,0.20614035427570343
1638972018.1808178,21,0.20614035427570343
1638972105.095018,22,0.19736842811107635
1638972193.9290078,23,0.20614035427570343
1638972282.1316178,24,0.19736842811107635
1638972370.012315,25,0.20614035427570343
1638972457.4488757,26,0.20614035427570343
1638972546.4381485,27,0.19078947603702545
1638972634.144874,28,0.20614035427570343
1638972721.878569,29,0.19736842811107635
1638972808.715624,30,0.20614035427570343
1638972895.33113,31,0.20614035427570343
1638972982.2172384,32,0.19736842811107635
1638973068.742545,33,0.20614035427570343
1638973155.6692739,34,0.20614035427570343
1638973242.6957142,35,0.20614035427570343
1638973329.0856056,36,0.20614035427570343
1638973415.6577482,37,0.19736842811107635
1638973504.3622096,38,0.20614035427570343
1638973592.4949675,39,0.20614035427570343
1638973678.8499517,40,0.20614035427570343
1638973764.9864223,41,0.20614035427570343
1638973851.1193907,42,0.19736842811107635
1638973937.8148205,43,0.20614035427570343
1638974024.2741313,44,0.20614035427570343
1638974110.927354,45,0.20614035427570343
1638974198.6901424,46,0.20614035427570343
1638974287.200868,47,0.20614035427570343
1638974374.4965813,48,0.20614035427570343
1638974462.1863663,49,0.19736842811107635
1638974549.5391414,50,0.20614035427570343
1638974638.900886,51,0.20614035427570343
1638974730.0727236,52,0.20614035427570343
1638974821.5219445,53,0.20614035427570343
1638974912.1653476,54,0.20614035427570343
1638975001.1923573,55,0.20614035427570343
1638975090.7865021,56,0.20614035427570343
1638975179.584241,57,0.20614035427570343
1638975268.3833191,58,0.20614035427570343
1638975357.5250294,59,0.20614035427570343
